Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2008","2008","ha","2600","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2008","2008","kg/ha","9230.8","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2008","2008","t","24000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2009","2009","ha","2694","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2009","2009","kg/ha","9281.1","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2009","2009","t","25000","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2010","2010","ha","2603","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2010","2010","kg/ha","9101.7","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2010","2010","t","23690.53","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2011","2011","ha","2595","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2011","2011","kg/ha","8992.9","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2011","2011","t","23338.96","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2012","2012","ha","2800","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2012","2012","kg/ha","8392.9","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2012","2012","t","23500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2013","2013","ha","2461","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2013","2013","kg/ha","8871.2","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2013","2013","t","21828.45","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2014","2014","ha","2240","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2014","2014","kg/ha","9021","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2014","2014","t","20203.32","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2015","2015","ha","2116","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2015","2015","kg/ha","8880","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2015","2015","t","18787.26","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2016","2016","ha","2272","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2016","2016","kg/ha","8923.2","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2016","2016","t","20273.01","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2017","2017","ha","2304","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2017","2017","kg/ha","8906.7","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2017","2017","t","20519.13","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2018","2018","ha","2235","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2018","2018","kg/ha","8903.1","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2018","2018","t","19900.47","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2019","2019","ha","2184","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2019","2019","kg/ha","8823.1","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2019","2019","t","19268.14","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2020","2020","ha","2188","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2020","2020","kg/ha","8808.4","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2020","2020","t","19271.55","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2021","2021","ha","2251","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2021","2021","kg/ha","8770.6","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2021","2021","t","19739.38","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2022","2022","ha","2295","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2022","2022","kg/ha","8728.6","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2022","2022","t","20030.19","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2023","2023","ha","2387","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2023","2023","kg/ha","8622.1","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2023","2023","t","20579.2","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","388","Tomatoes","2024","2024","ha","2365","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","388","Tomatoes","2024","2024","kg/ha","8644.4","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","388","Tomatoes","2024","2024","t","20448.05","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","826","Unmanufactured tobacco","2000","2000","ha","40","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","826","Unmanufactured tobacco","2000","2000","kg/ha","500","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","826","Unmanufactured tobacco","2000","2000","t","20","A","Official figure",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","826","Unmanufactured tobacco","2001","2001","ha","36","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","826","Unmanufactured tobacco","2001","2001","kg/ha","538.7","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","826","Unmanufactured tobacco","2001","2001","t","19.4","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","826","Unmanufactured tobacco","2002","2002","ha","42","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","826","Unmanufactured tobacco","2002","2002","kg/ha","526.4","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","826","Unmanufactured tobacco","2002","2002","t","21.91","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","826","Unmanufactured tobacco","2003","2003","ha","50","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","826","Unmanufactured tobacco","2003","2003","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","826","Unmanufactured tobacco","2003","2003","t","25","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","826","Unmanufactured tobacco","2004","2004","ha","55","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","826","Unmanufactured tobacco","2004","2004","kg/ha","490.9","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","826","Unmanufactured tobacco","2004","2004","t","27","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","826","Unmanufactured tobacco","2005","2005","ha","60","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","826","Unmanufactured tobacco","2005","2005","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","826","Unmanufactured tobacco","2005","2005","t","30","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","826","Unmanufactured tobacco","2006","2006","ha","64","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5412","Yield","826","Unmanufactured tobacco","2006","2006","kg/ha","500","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5510","Production","826","Unmanufactured tobacco","2006","2006","t","32","E","Estimated value",""
"QCL","Crops and livestock products","694","Sierra Leone","5312","Area harvested","826","Unmanufactured tobacco","2007","2007","ha","66","E","Estimated value",""
